Date,Close
1/2/2024 16:00:00,59.82
1/3/2024 16:00:00,59.96
1/4/2024 16:00:00,59.76
1/5/2024 16:00:00,59.67
1/8/2024 16:00:00,60.11
1/9/2024 16:00:00,60
1/10/2024 16:00:00,60.2
1/11/2024 16:00:00,59.81
1/12/2024 16:00:00,60.39
1/16/2024 16:00:00,59.99
1/17/2024 16:00:00,59.99
1/18/2024 16:00:00,60.16
1/19/2024 16:00:00,59.83
1/22/2024 16:00:00,59.57
1/23/2024 16:00:00,59.85
1/24/2024 16:00:00,58.91
1/25/2024 16:00:00,59.16
1/26/2024 16:00:00,59.37
1/29/2024 16:00:00,59.73
1/30/2024 16:00:00,59.9
1/31/2024 16:00:00,59.49
2/1/2024 16:00:00,60.98
2/2/2024 16:00:00,60.54
2/5/2024 16:00:00,60.04
2/6/2024 16:00:00,59.94
2/7/2024 16:00:00,59.99
2/8/2024 16:00:00,59.83
2/9/2024 16:00:00,59.56
2/12/2024 16:00:00,59.7
2/13/2024 16:00:00,59.35
2/14/2024 16:00:00,59.29
2/15/2024 16:00:00,59.4
2/16/2024 16:00:00,59.39
2/20/2024 16:00:00,60.7
2/21/2024 16:00:00,61.24
2/22/2024 16:00:00,61.15
2/23/2024 16:00:00,61.2
2/26/2024 16:00:00,60.71
2/27/2024 16:00:00,60.34
2/28/2024 16:00:00,60.4
2/29/2024 16:00:00,60.02
3/1/2024 16:00:00,59.53
3/4/2024 16:00:00,59.81
3/5/2024 16:00:00,59.52
3/6/2024 16:00:00,59.55
3/7/2024 16:00:00,59.44
3/8/2024 16:00:00,59.52
3/11/2024 16:00:00,60.24
3/12/2024 16:00:00,60.5
3/13/2024 16:00:00,61.12
3/14/2024 16:00:00,60.5
3/15/2024 16:00:00,59.88
3/18/2024 16:00:00,60.13
3/19/2024 16:00:00,60.23
3/20/2024 16:00:00,60.75
3/21/2024 16:00:00,60.47
3/22/2024 16:00:00,60.49
3/25/2024 16:00:00,60.4
3/26/2024 16:00:00,60.54
3/27/2024 16:00:00,61.03
3/28/2024 16:00:00,61.18
4/1/2024 16:00:00,60.68
4/2/2024 16:00:00,60.15
4/3/2024 16:00:00,59.83
4/4/2024 16:00:00,59.3
4/5/2024 16:00:00,59.51
4/8/2024 16:00:00,59.27
4/9/2024 16:00:00,59.72
4/10/2024 16:00:00,58.92
4/11/2024 16:00:00,59.05
4/12/2024 16:00:00,58.28
4/15/2024 16:00:00,58.14
4/16/2024 16:00:00,58.06
4/17/2024 16:00:00,58.51
4/18/2024 16:00:00,58.91
4/19/2024 16:00:00,60.17
4/22/2024 16:00:00,60.55
4/23/2024 16:00:00,60.64
4/24/2024 16:00:00,61.55
4/25/2024 16:00:00,61.74
4/26/2024 16:00:00,61.74
4/29/2024 16:00:00,62.04
4/30/2024 16:00:00,61.77
5/1/2024 16:00:00,61.93
5/2/2024 16:00:00,61.99
5/3/2024 16:00:00,62.17
5/6/2024 16:00:00,62.35
5/7/2024 16:00:00,62.62
5/8/2024 16:00:00,62.85
5/9/2024 16:00:00,62.88
5/10/2024 16:00:00,63.26
5/13/2024 16:00:00,63.58
5/14/2024 16:00:00,63.1
5/15/2024 16:00:00,63.13
5/16/2024 16:00:00,63.32
5/17/2024 16:00:00,63.03
5/20/2024 16:00:00,62.57
5/21/2024 16:00:00,62.91
5/22/2024 16:00:00,63
5/23/2024 16:00:00,62.09
5/24/2024 16:00:00,62
5/28/2024 16:00:00,61.82
5/29/2024 16:00:00,61.7
5/30/2024 16:00:00,61.97
5/31/2024 16:00:00,62.93
6/3/2024 16:00:00,62.93
6/4/2024 16:00:00,63.94
6/5/2024 16:00:00,63.92
6/6/2024 16:00:00,64.15
6/7/2024 16:00:00,63.91
6/10/2024 16:00:00,63.59
6/11/2024 16:00:00,63.55
6/12/2024 16:00:00,62.88
6/13/2024 16:00:00,62.99
6/14/2024 16:00:00,62.55
6/17/2024 16:00:00,62.62
