Date,Close
1/2/2025 16:00:00,584.64
1/3/2025 16:00:00,591.95
1/6/2025 16:00:00,595.36
1/7/2025 16:00:00,588.63
1/8/2025 16:00:00,589.49
1/10/2025 16:00:00,580.49
1/13/2025 16:00:00,581.39
1/14/2025 16:00:00,582.19
1/15/2025 16:00:00,592.78
1/16/2025 16:00:00,591.64
1/17/2025 16:00:00,597.58
1/21/2025 16:00:00,603.05
1/22/2025 16:00:00,606.44
1/23/2025 16:00:00,609.75
1/24/2025 16:00:00,607.97
1/27/2025 16:00:00,599.37
1/28/2025 16:00:00,604.52
1/29/2025 16:00:00,601.81
1/30/2025 16:00:00,605.04
1/31/2025 16:00:00,601.82
2/3/2025 16:00:00,597.77
2/4/2025 16:00:00,601.78
2/5/2025 16:00:00,604.22
2/6/2025 16:00:00,606.32
2/7/2025 16:00:00,600.77
2/10/2025 16:00:00,604.85
2/11/2025 16:00:00,605.31
2/12/2025 16:00:00,603.36
2/13/2025 16:00:00,609.73
2/14/2025 16:00:00,609.7
2/18/2025 16:00:00,611.49
2/19/2025 16:00:00,612.93
2/20/2025 16:00:00,610.38
2/21/2025 16:00:00,599.94
2/24/2025 16:00:00,597.21
2/25/2025 16:00:00,594.24
2/26/2025 16:00:00,594.54
2/27/2025 16:00:00,585.05
2/28/2025 16:00:00,594.18
3/3/2025 16:00:00,583.77
3/4/2025 16:00:00,576.86
3/5/2025 16:00:00,583.06
3/6/2025 16:00:00,572.71
3/7/2025 16:00:00,575.92
3/10/2025 16:00:00,560.58
3/11/2025 16:00:00,555.92
3/12/2025 16:00:00,558.87
3/13/2025 16:00:00,551.42
3/14/2025 16:00:00,562.81
3/17/2025 16:00:00,567.15
3/18/2025 16:00:00,561.02
3/19/2025 16:00:00,567.13
3/20/2025 16:00:00,565.49
3/21/2025 16:00:00,563.98
3/24/2025 16:00:00,574.08
3/25/2025 16:00:00,575.46
3/26/2025 16:00:00,568.59
3/27/2025 16:00:00,567.08
3/28/2025 16:00:00,555.66
3/31/2025 16:00:00,559.39
4/1/2025 16:00:00,560.97
4/2/2025 16:00:00,564.52
4/3/2025 16:00:00,536.7
